OBJECTID,NAME,Lat,Long
1,Astor Pl,40.730054,-73.99107
2,Canal St,40.718803,-74.000193
3,50th St,40.761728,-73.983849
4,Bergen St,40.68086214,-73.97499915
5,Pennsylvania Ave,40.66471445,-73.89488591
6,238th St,40.884667,-73.90087
7,Cathedral Pkwy (110th St),40.80058156,-73.95806671
8,Kingston - Throop Aves,40.679919,-73.940859
9,65th St,40.74971953,-73.89878838
10,36th St,40.75196004,-73.92901818
11,Delancey St - Essex St,40.71830606,-73.9874094
12,Van Siclen Ave,40.67802821,-73.89165773
13,Norwood Ave,40.68152,-73.879626
14,104th-102nd Sts,40.695166,-73.844435
15,DeKalb Ave,40.69064812,-73.98177094
16,Beach 105th St,40.58326844,-73.82758075
17,Beach 90th St,40.58809156,-73.8136514
18,Freeman St,40.82998745,-73.89175225
19,Intervale Ave,40.82214213,-73.89661738
20,182nd-183rd Sts,40.856093,-73.900741
21,174th-175th Sts,40.8459,-73.910136
22,167th St,40.833769,-73.918432
23,Mets - Willets Point,40.754622,-73.845625
24,Junction Blvd,40.749145,-73.869527
25,Flushing - Main St,40.7596,-73.83003
26,Buhre Ave,40.84681,-73.832569
27,3rd Ave - 138th St,40.810476,-73.926138
28,Castle Hill Ave,40.834255,-73.851222
29,Brooklyn Bridge - City Hall,40.713065,-74.004131
30,Zerega Ave,40.836488,-73.847036
31,Grand Central - 42nd St,40.75180743,-73.9767133
32,33rd St,40.746081,-73.982076
33,96th St,40.785672,-73.95107
34,77th St,40.77362,-73.959874
35,Chauncey St,40.6828513,-73.91038357
36,Union St,40.67731567,-73.98311
37,Elmhurst Ave,40.74237008,-73.88203475
38,Ralph Ave,40.678822,-73.920786
39,Pelham Pkwy,40.85719241,-73.86748068
40,Gun Hill Rd,40.87783939,-73.86613411
41,Nereid Ave (238 St),40.89828652,-73.85431531
42,Franklin Ave,40.67076515,-73.95809974
43,Simpson St,40.82397684,-73.8930664
44,Bronx Park East,40.84876867,-73.86835609
45,Winthrop St,40.65665931,-73.95007935
46,Van Siclen Ave,40.66551796,-73.88940492
47,149th St - Grand Concourse,40.81830344,-73.92738475
48,161st St - Yankee Stadium,40.82823033,-73.925692
49,Lexington Ave - 59th St,40.762526,-73.967967
50,E 149th St,40.812118,-73.904098
51,Morrison Av - Soundview,40.829521,-73.874516
52,Whitlock Ave,40.826525,-73.886283
53,St Lawrence Ave,40.831509,-73.867618
54,Woodside - 61st St,40.74563,-73.902984
55,Far Rockaway - Mott Ave,40.603995,-73.755405
56,72nd St,40.7755194,-73.97633658
57,96th St,40.7916188,-73.96460246
58,168th St,40.840719,-73.939561
59,Kingsbridge Rd,40.866978,-73.893509
60,42nd St - Bryant Pk,40.754184,-73.984591
61,Prospect Park,40.66163346,-73.9620313
62,55th St,40.63147876,-73.99534883
63,Jamaica - Van Wyck,40.70289855,-73.81701287
64,Kew Gardens - Union Tpke,40.71403482,-73.83037027
65,Sutphin Blvd - Archer Av,40.70038242,-73.80800472
66,Court Sq - 23rd St,40.74776812,-73.9460547
67,67th Ave,40.72650548,-73.85286048
68,Grand Ave - Newtown,40.73681342,-73.87722086
69,Ditmas Ave,40.63611867,-73.978172
70,Classon Ave,40.688889,-73.95999
71,Broadway,40.70612658,-73.95031226
72,Lorimer St,40.714072,-73.950248
73,Sutter Ave,40.669145,-73.901916
74,Wilson Ave,40.68886654,-73.9039586
75,Halsey St,40.68641527,-73.91663888
76,Lorimer St,40.703844,-73.947355
77,8th Ave,40.634971,-74.011516
78,36th Ave,40.756442,-73.929862
79,Broadway,40.761432,-73.925823
80,Times Sq - 42nd St,40.754612,-73.986768
81,Grand Central - 42nd St,40.75276867,-73.979189
82,Park Pl,40.67477167,-73.957624
83,111th St,40.684331,-73.832163
